最大值,59.4,@,No.1283,,,,,,
最小值,-2.0,@,No.2232,,,,,,
平均值,20.01,,,,,,,,
次数,2493,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
244,7.0,N,0.000,mm,OK,--,15:17:22,2024/3/1,
245,7.1,N,0.000,mm,OK,--,15:17:22,2024/3/1,
246,7.1,N,0.000,mm,OK,--,15:17:22,2024/3/1,
247,7.2,N,0.000,mm,OK,--,15:17:23,2024/3/1,
248,7.2,N,0.000,mm,OK,--,15:17:23,2024/3/1,
249,7.3,N,0.000,mm,OK,--,15:17:23,2024/3/1,
250,7.3,N,0.000,mm,OK,--,15:17:23,2024/3/1,
251,7.4,N,0.000,mm,OK,--,15:17:23,2024/3/1,
252,7.5,N,0.000,mm,OK,--,15:17:23,2024/3/1,
253,7.5,N,0.000,mm,OK,--,15:17:23,2024/3/1,
254,7.5,N,0.000,mm,OK,--,15:17:23,2024/3/1,
255,7.6,N,0.000,mm,OK,--,15:17:23,2024/3/1,
256,7.6,N,0.000,mm,OK,--,15:17:23,2024/3/1,
257,7.7,N,0.000,mm,OK,--,15:17:24,2024/3/1,
258,7.7,N,0.000,mm,OK,--,15:17:24,2024/3/1,
259,7.8,N,0.000,mm,OK,--,15:17:24,2024/3/1,
260,7.8,N,0.000,mm,OK,--,15:17:24,2024/3/1,
261,7.9,N,0.000,mm,OK,--,15:17:24,2024/3/1,
262,7.9,N,0.000,mm,OK,--,15:17:24,2024/3/1,
263,8.0,N,0.000,mm,OK,--,15:17:24,2024/3/1,
264,8.0,N,0.000,mm,OK,--,15:17:24,2024/3/1,
265,8.1,N,0.000,mm,OK,--,15:17:24,2024/3/1,
266,8.1,N,0.000,mm,OK,--,15:17:24,2024/3/1,
267,8.2,N,0.000,mm,OK,--,15:17:25,2024/3/1,
268,8.2,N,0.000,mm,OK,--,15:17:25,2024/3/1,
269,8.3,N,0.000,mm,OK,--,15:17:25,2024/3/1,
270,8.3,N,0.000,mm,OK,--,15:17:25,2024/3/1,
271,8.4,N,0.000,mm,OK,--,15:17:25,2024/3/1,
272,8.4,N,0.000,mm,OK,--,15:17:25,2024/3/1,
273,8.5,N,0.000,mm,OK,--,15:17:25,2024/3/1,
274,8.5,N,0.000,mm,OK,--,15:17:25,2024/3/1,
275,8.6,N,0.000,mm,OK,--,15:17:25,2024/3/1,
276,8.7,N,0.000,mm,OK,--,15:17:25,2024/3/1,
277,8.7,N,0.000,mm,OK,--,15:17:26,2024/3/1,
278,8.7,N,0.000,mm,OK,--,15:17:26,2024/3/1,
279,8.8,N,0.000,mm,OK,--,15:17:26,2024/3/1,
280,8.9,N,0.000,mm,OK,--,15:17:26,2024/3/1,
281,8.9,N,0.000,mm,OK,--,15:17:26,2024/3/1,
282,9.0,N,0.000,mm,OK,--,15:17:26,2024/3/1,
283,9.0,N,0.000,mm,OK,--,15:17:26,2024/3/1,
284,9.1,N,0.000,mm,OK,--,15:17:26,2024/3/1,
285,9.2,N,0.000,mm,OK,--,15:17:26,2024/3/1,
286,9.2,N,0.000,mm,OK,--,15:17:26,2024/3/1,
287,9.3,N,0.000,mm,OK,--,15:17:27,2024/3/1,
288,9.3,N,0.000,mm,OK,--,15:17:27,2024/3/1,
289,9.4,N,0.000,mm,OK,--,15:17:27,2024/3/1,
290,9.4,N,0.000,mm,OK,--,15:17:27,2024/3/1,
291,9.5,N,0.000,mm,OK,--,15:17:27,2024/3/1,
292,9.6,N,0.000,mm,OK,--,15:17:27,2024/3/1,
293,9.6,N,0.000,mm,OK,--,15:17:27,2024/3/1,
294,9.7,N,0.000,mm,OK,--,15:17:27,2024/3/1,
295,9.7,N,0.000,mm,OK,--,15:17:27,2024/3/1,
296,9.8,N,0.000,mm,OK,--,15:17:27,2024/3/1,
297,9.9,N,0.000,mm,OK,--,15:17:28,2024/3/1,
298,9.9,N,0.000,mm,OK,--,15:17:28,2024/3/1,
299,10.0,N,0.000,mm,OK,--,15:17:28,2024/3/1,
300,10.0,N,0.000,mm,OK,--,15:17:28,2024/3/1,
301,10.1,N,0.000,mm,OK,--,15:17:28,2024/3/1,
302,10.2,N,0.000,mm,OK,--,15:17:28,2024/3/1,
303,10.2,N,0.000,mm,OK,--,15:17:28,2024/3/1,
304,10.3,N,0.000,mm,OK,--,15:17:28,2024/3/1,
305,10.3,N,0.000,mm,OK,--,15:17:28,2024/3/1,
306,10.4,N,0.000,mm,OK,--,15:17:28,2024/3/1,
307,10.4,N,0.000,mm,OK,--,15:17:29,2024/3/1,
308,10.5,N,0.000,mm,OK,--,15:17:29,2024/3/1,
309,10.5,N,0.000,mm,OK,--,15:17:29,2024/3/1,
310,10.6,N,0.000,mm,OK,--,15:17:29,2024/3/1,
311,10.7,N,0.000,mm,OK,--,15:17:29,2024/3/1,
312,10.7,N,0.000,mm,OK,--,15:17:29,2024/3/1,
313,10.8,N,0.000,mm,OK,--,15:17:29,2024/3/1,
314,10.8,N,0.000,mm,OK,--,15:17:29,2024/3/1,
315,10.9,N,0.000,mm,OK,--,15:17:29,2024/3/1,
316,10.9,N,0.000,mm,OK,--,15:17:29,2024/3/1,
317,11.0,N,0.000,mm,OK,--,15:17:30,2024/3/1,
318,11.0,N,0.000,mm,OK,--,15:17:30,2024/3/1,
319,11.1,N,0.000,mm,OK,--,15:17:30,2024/3/1,
320,11.1,N,0.000,mm,OK,--,15:17:30,2024/3/1,
321,11.2,N,0.000,mm,OK,--,15:17:30,2024/3/1,
322,11.2,N,0.000,mm,OK,--,15:17:30,2024/3/1,
323,11.3,N,0.000,mm,OK,--,15:17:30,2024/3/1,
324,11.3,N,0.000,mm,OK,--,15:17:30,2024/3/1,
325,11.4,N,0.000,mm,OK,--,15:17:30,2024/3/1,
326,11.5,N,0.000,mm,OK,--,15:17:30,2024/3/1,
327,11.5,N,0.000,mm,OK,--,15:17:31,2024/3/1,
328,11.5,N,0.000,mm,OK,--,15:17:31,2024/3/1,
329,11.6,N,0.000,mm,OK,--,15:17:31,2024/3/1,
330,11.7,N,0.000,mm,OK,--,15:17:31,2024/3/1,
331,11.7,N,0.000,mm,OK,--,15:17:31,2024/3/1,
332,11.7,N,0.000,mm,OK,--,15:17:31,2024/3/1,
333,11.8,N,0.000,mm,OK,--,15:17:31,2024/3/1,
334,11.8,N,0.000,mm,OK,--,15:17:31,2024/3/1,
335,11.9,N,0.000,mm,OK,--,15:17:31,2024/3/1,
336,11.9,N,0.000,mm,OK,--,15:17:32,2024/3/1,
337,12.0,N,0.000,mm,OK,--,15:17:32,2024/3/1,
338,12.0,N,0.000,mm,OK,--,15:17:32,2024/3/1,
339,12.1,N,0.000,mm,OK,--,15:17:32,2024/3/1,
340,12.2,N,0.000,mm,OK,--,15:17:32,2024/3/1,
341,12.2,N,0.000,mm,OK,--,15:17:32,2024/3/1,
342,12.3,N,0.000,mm,OK,--,15:17:32,2024/3/1,
343,12.3,N,0.000,mm,OK,--,15:17:32,2024/3/1,
344,12.3,N,0.000,mm,OK,--,15:17:32,2024/3/1,
345,12.4,N,0.000,mm,OK,--,15:17:32,2024/3/1,
346,12.4,N,0.000,mm,OK,--,15:17:32,2024/3/1,
347,12.5,N,0.000,mm,OK,--,15:17:33,2024/3/1,
348,12.5,N,0.000,mm,OK,--,15:17:33,2024/3/1,
349,12.6,N,0.000,mm,OK,--,15:17:33,2024/3/1,
350,12.6,N,0.000,mm,OK,--,15:17:33,2024/3/1,
351,12.7,N,0.000,mm,OK,--,15:17:33,2024/3/1,
352,12.7,N,0.000,mm,OK,--,15:17:33,2024/3/1,
353,12.8,N,0.000,mm,OK,--,15:17:33,2024/3/1,
354,12.8,N,0.000,mm,OK,--,15:17:33,2024/3/1,
355,12.8,N,0.000,mm,OK,--,15:17:33,2024/3/1,
356,12.9,N,0.000,mm,OK,--,15:17:33,2024/3/1,
357,12.9,N,0.000,mm,OK,--,15:17:34,2024/3/1,
358,13.0,N,0.000,mm,OK,--,15:17:34,2024/3/1,
359,13.0,N,0.000,mm,OK,--,15:17:34,2024/3/1,
360,13.1,N,0.000,mm,OK,--,15:17:34,2024/3/1,
361,13.1,N,0.000,mm,OK,--,15:17:34,2024/3/1,
362,13.2,N,0.000,mm,OK,--,15:17:34,2024/3/1,
363,13.2,N,0.000,mm,OK,--,15:17:34,2024/3/1,
364,13.2,N,0.000,mm,OK,--,15:17:34,2024/3/1,
365,13.3,N,0.000,mm,OK,--,15:17:34,2024/3/1,
366,13.3,N,0.000,mm,OK,--,15:17:34,2024/3/1,
367,13.4,N,0.000,mm,OK,--,15:17:35,2024/3/1,
368,13.4,N,0.000,mm,OK,--,15:17:35,2024/3/1,
369,13.5,N,0.000,mm,OK,--,15:17:35,2024/3/1,
370,13.5,N,0.000,mm,OK,--,15:17:35,2024/3/1,
371,13.5,N,0.000,mm,OK,--,15:17:35,2024/3/1,
372,13.6,N,0.000,mm,OK,--,15:17:35,2024/3/1,
373,13.6,N,0.000,mm,OK,--,15:17:35,2024/3/1,
374,13.7,N,0.000,mm,OK,--,15:17:35,2024/3/1,
375,13.7,N,0.000,mm,OK,--,15:17:35,2024/3/1,
376,13.7,N,0.000,mm,OK,--,15:17:35,2024/3/1,
377,13.8,N,0.000,mm,OK,--,15:17:36,2024/3/1,
378,13.8,N,0.000,mm,OK,--,15:17:36,2024/3/1,
379,13.9,N,0.000,mm,OK,--,15:17:36,2024/3/1,
380,13.9,N,0.000,mm,OK,--,15:17:36,2024/3/1,
381,13.9,N,0.000,mm,OK,--,15:17:36,2024/3/1,
